time,today,yesterday,same_day_last_week,avg_last_week,avg_last_month
00h,6,9,5,5.0,4.92
01h,3,3,2,2.0,1.92
02h,3,1,2,0.42,0.75
03h,0,1,1,0.42,0.46
04h,0,0,0,0.14,0.21
05h,2,1,1,0.71,0.71
06h,3,1,2,1.42,2.10
07h,10,2,9,3.0,5.03
08h,25,0,12,3.71,9.82
09h,36,2,27,10.14,17.64
10h,43,55,42,26.14,28.57
11h,44,36,47,25.0,28.28
12h,46,51,46,24.0,25.89
13h,45,36,31,20.28,24.17
14h,19,32,35,19.57,24.89
15h,0,51,42,22.427,27.78
16h,0,41,36,21.57,25.53
17h,0,45,19,17.71,22.67
18h,13,32,29,16.85,18.46
19h,32,33,29,18.0,18.21
20h,23,25,17,12.14,18.53
21h,28,30,23,14.85,17.82
22h,29,28,17,12.71,15.5
23h,17,11,14,8.28,8.75
