time,status,count
00h 00,reversed,7
00h 00,approved,9
00h 00,processing,12
00h 00,denied,3
00h 00,backend_reversed,2
00h 01,approved,16
00h 01,backend_reversed,1
00h 01,reversed,2
00h 01,processing,2
00h 01,denied,12
00h 02,reversed,5
00h 02,backend_reversed,3
00h 02,processing,5
00h 02,approved,5
00h 02,denied,4
00h 03,denied,2
00h 03,backend_reversed,2
00h 03,approved,6
00h 03,processing,4
00h 03,reversed,9
00h 04,processing,2
00h 04,reversed,10
00h 04,backend_reversed,3
00h 04,approved,12
00h 04,denied,4
00h 05,approved,27
00h 05,reversed,4
00h 05,denied,6
00h 06,approved,22
00h 06,reversed,1
00h 06,denied,4
00h 07,processing,1
00h 07,backend_reversed,2
00h 07,denied,2
00h 07,approved,11
00h 07,reversed,3
00h 08,processing,6
00h 08,reversed,2
00h 08,backend_reversed,3
00h 08,approved,5
00h 09,approved,3
00h 09,reversed,9
00h 09,denied,1
00h 09,backend_reversed,5
00h 09,processing,5
00h 10,denied,1
00h 10,processing,5
00h 10,reversed,1
00h 10,backend_reversed,10
00h 11,backend_reversed,4
00h 11,approved,2
00h 11,processing,2
00h 11,denied,1
00h 11,reversed,8
00h 12,approved,14
00h 12,processing,4
00h 12,denied,8
00h 12,refunded,1
00h 12,backend_reversed,3
00h 12,reversed,8
00h 13,approved,33
00h 13,denied,5
00h 14,approved,17
00h 14,denied,4
00h 15,approved,12
00h 15,reversed,1
00h 15,denied,5
00h 16,refunded,1
00h 16,denied,2
00h 16,reversed,3
00h 16,approved,10
00h 17,reversed,6
00h 17,denied,2
00h 17,approved,13
00h 17,refunded,1
00h 18,approved,18
00h 18,denied,1
00h 19,approved,16
00h 20,denied,3
00h 20,approved,11
00h 21,approved,17
00h 21,reversed,1
00h 21,denied,5
00h 22,approved,15
00h 22,denied,7
00h 23,denied,5
00h 23,approved,17
00h 24,refunded,1
00h 24,approved,15
00h 24,denied,7
00h 25,approved,10
00h 25,denied,3
00h 25,reversed,1
00h 26,approved,6
00h 27,approved,11
00h 28,approved,10
00h 28,denied,4
00h 29,approved,16
00h 29,denied,2
00h 30,denied,3
00h 30,approved,6
00h 31,approved,10
00h 31,denied,3
00h 32,approved,7
00h 33,denied,2
00h 33,approved,8
00h 34,denied,2
00h 34,approved,11
00h 35,approved,8
00h 36,denied,2
00h 36,approved,7
00h 36,reversed,1
00h 37,denied,1
00h 37,approved,12
00h 38,approved,3
00h 38,denied,3
01h 38,approved,2
